,dataset,index,pipe1,pipe2,p,smd,nsub
81,Zhou 2016,81,ACM+TGSP+SVM(MDOP),FgMDM,0.125,1.1059100516395266,3
82,Zhou 2016,82,ShallowConvNet,FgMDM,0.125,1.470217447314405,3
83,Zhou 2016,83,TANG+SVM,FgMDM,0.25,0.9289656217918145,3
84,Zhou 2016,84,ACM+MDM(Grid),MDM,0.125,1.5950603399889072,3
85,Zhou 2016,85,ACM+TGSP+SVM(Grid),MDM,0.25,0.6411095898591618,3
86,Zhou 2016,86,CSP+LDA,MDM,0.5,0.1332184737869905,3
87,Zhou 2016,87,Cov+EN,MDM,0.375,0.35012970399864285,3
88,Zhou 2016,88,DeepConvNet,MDM,0.25,0.5342566112816141,3
89,Zhou 2016,89,EEGNet_8_2,MDM,0.125,2.585134972139592,3
90,Zhou 2016,90,FgMDM,MDM,0.75,-0.45543538864879657,3
91,Zhou 2016,91,MDM,MDM,0.125,0.0,3
92,Zhou 2016,92,ACM+MDM(MDOP),MDM,0.125,2.4102760468224083,3
93,Zhou 2016,93,ACM+TGSP+SVM(MDOP),MDM,0.125,1.5514972686513742,3
94,Zhou 2016,94,ShallowConvNet,MDM,0.25,0.7162098489380722,3
95,Zhou 2016,95,TANG+SVM,MDM,0.75,-0.14675302491610692,3
96,Zhou 2016,96,ACM+MDM(Grid),ACM+MDM(MDOP),0.375,0.22860535832240708,3
97,Zhou 2016,97,ACM+TGSP+SVM(Grid),ACM+MDM(MDOP),0.75,-0.3056687087084093,3
98,Zhou 2016,98,CSP+LDA,ACM+MDM(MDOP),0.75,-0.31824907122881396,3
99,Zhou 2016,99,Cov+EN,ACM+MDM(MDOP),0.75,-0.24246465006770507,3
100,Zhou 2016,100,DeepConvNet,ACM+MDM(MDOP),0.5,0.0859364394767706,3
101,Zhou 2016,101,EEGNet_8_2,ACM+MDM(MDOP),0.25,0.7760938467133934,3
102,Zhou 2016,102,FgMDM,ACM+MDM(MDOP),0.875,-0.7354001094029279,3
103,Zhou 2016,103,MDM,ACM+MDM(MDOP),0.875,-2.4102760468224083,3
104,Zhou 2016,104,ACM+MDM(MDOP),ACM+MDM(MDOP),0.125,0.0,3
105,Zhou 2016,105,ACM+TGSP+SVM(MDOP),ACM+MDM(MDOP),0.5,0.06553141315809195,3
106,Zhou 2016,106,ShallowConvNet,ACM+MDM(MDOP),0.5,0.20849729665865102,3
107,Zhou 2016,107,TANG+SVM,ACM+MDM(MDOP),0.875,-0.6220191695821837,3
108,Zhou 2016,108,ACM+MDM(Grid),ACM+TGSP+SVM(MDOP),0.5,0.035087339061495734,3
109,Zhou 2016,109,ACM+TGSP+SVM(Grid),ACM+TGSP+SVM(MDOP),0.875,-1.1289666106357612,3
110,Zhou 2016,110,CSP+LDA,ACM+TGSP+SVM(MDOP),0.875,-0.588807381422697,3
111,Zhou 2016,111,Cov+EN,ACM+TGSP+SVM(MDOP),0.875,-0.5692529808966371,3
112,Zhou 2016,112,DeepConvNet,ACM+TGSP+SVM(MDOP),0.375,0.07794293225640346,3
113,Zhou 2016,113,EEGNet_8_2,ACM+TGSP+SVM(MDOP),0.125,0.8692878279403989,3
114,Zhou 2016,114,FgMDM,ACM+TGSP+SVM(MDOP),0.875,-1.1059100516395266,3
115,Zhou 2016,115,MDM,ACM+TGSP+SVM(MDOP),0.875,-1.5514972686513742,3
116,Zhou 2016,116,ACM+MDM(MDOP),ACM+TGSP+SVM(MDOP),0.625,-0.06553141315809195,3
117,Zhou 2016,117,ACM+TGSP+SVM(MDOP),ACM+TGSP+SVM(MDOP),0.125,0.0,3
118,Zhou 2016,118,ShallowConvNet,ACM+TGSP+SVM(MDOP),0.375,0.2394757040402373,3
119,Zhou 2016,119,TANG+SVM,ACM+TGSP+SVM(MDOP),0.875,-1.2261515878344897,3
120,Zhou 2016,120,ACM+MDM(Grid),ShallowConvNet,0.625,-0.1588669111825919,3
121,Zhou 2016,121,ACM+TGSP+SVM(Grid),ShallowConvNet,0.875,-0.584853873450794,3
122,Zhou 2016,122,CSP+LDA,ShallowConvNet,0.875,-0.6087486450707483,3
123,Zhou 2016,123,Cov+EN,ShallowConvNet,0.75,-0.5667278269819134,3
124,Zhou 2016,124,DeepConvNet,ShallowConvNet,0.875,-1.0831185812670163,3
125,Zhou 2016,125,EEGNet_8_2,ShallowConvNet,0.5,0.22960325435774692,3
126,Zhou 2016,126,FgMDM,ShallowConvNet,0.875,-1.470217447314405,3
127,Zhou 2016,127,MDM,ShallowConvNet,0.875,-0.7162098489380722,3
128,Zhou 2016,128,ACM+MDM(MDOP),ShallowConvNet,0.625,-0.20849729665865102,3
129,Zhou 2016,129,ACM+TGSP+SVM(MDOP),ShallowConvNet,0.75,-0.2394757040402373,3
130,Zhou 2016,130,ShallowConvNet,ShallowConvNet,0.125,0.0,3
131,Zhou 2016,131,TANG+SVM,ShallowConvNet,0.875,-1.2869672116159296,3
132,Zhou 2016,132,ACM+MDM(Grid),TANG+SVM,0.25,0.5800345994783905,3
133,Zhou 2016,133,ACM+TGSP+SVM(Grid),TANG+SVM,0.125,1.2066176947456384,3
134,Zhou 2016,134,CSP+LDA,TANG+SVM,0.25,0.6991213172024972,3
135,Zhou 2016,135,Cov+EN,TANG+SVM,0.125,2.0983428930629553,3
136,Zhou 2016,136,DeepConvNet,TANG+SVM,0.125,0.8920480500193252,3
137,Zhou 2016,137,EEGNet_8_2,TANG+SVM,0.125,1.5279049750487592,3
138,Zhou 2016,138,FgMDM,TANG+SVM,0.875,-0.9289656217918145,3
139,Zhou 2016,139,MDM,TANG+SVM,0.375,0.14675302491610692,3
140,Zhou 2016,140,ACM+MDM(MDOP),TANG+SVM,0.25,0.6220191695821837,3
141,Zhou 2016,141,ACM+TGSP+SVM(MDOP),TANG+SVM,0.125,1.2261515878344897,3
142,Zhou 2016,142,ShallowConvNet,TANG+SVM,0.125,1.2869672116159296,3
143,Zhou 2016,143,TANG+SVM,TANG+SVM,0.125,0.0,3
