,Unnamed: 0,score,score_precision,score_recall,score_f1,time,samples,carbon_emission,subject,session,channels,n_sessions,dataset,pipeline
3,3,0.6648299,0.67182547,0.66333336,0.6582917,128.73346,144.0,9.1308775,5,session_T,22,2,001-2014,ACM+TGSP+SVM(MDOP)
0,0,0.6841497,0.6533196,0.6457143,0.639455,129.28508,144.0,0.9966352,6,session_E,22,2,001-2014,ACM+MDM(MDOP)
1,1,0.8242177,0.7557546,0.7504762,0.74851066,128.9748,144.0,5.0882273,6,session_T,22,2,001-2014,ACM+MDM(MDOP)
2,2,0.6961905,0.63611037,0.6333333,0.6279408,136.50145,144.0,1.0875669,6,session_E,22,2,001-2014,ACM+TGSP+SVM(MDOP)
3,3,0.8448299,0.7917614,0.78619045,0.7826904,129.93431,144.0,1.02674,6,session_T,22,2,001-2014,ACM+TGSP+SVM(MDOP)
0,0,0.9895238,0.96061623,0.95809525,0.95843863,127.54116,144.0,5.1194663,7,session_E,22,2,001-2014,ACM+MDM(MDOP)
1,1,0.85142857,0.7770166,0.7619048,0.7594207,125.31292,144.0,1.1251767,7,session_T,22,2,001-2014,ACM+MDM(MDOP)
2,2,0.9942857,0.9607738,0.95809525,0.9580054,133.96104,144.0,1.1638165,7,session_E,22,2,001-2014,ACM+TGSP+SVM(MDOP)
3,3,0.8747619,0.80791473,0.7847619,0.780566,126.95597,144.0,5.0694027,7,session_T,22,2,001-2014,ACM+TGSP+SVM(MDOP)
0,0,0.99897957,0.98083335,0.97952384,0.9790385,133.05878,144.0,9.087638,8,session_E,22,2,001-2014,ACM+MDM(MDOP)
1,1,0.9980952,0.9861905,0.9861905,0.9861905,125.379036,144.0,0.99549353,8,session_T,22,2,001-2014,ACM+MDM(MDOP)
2,2,0.99897957,0.9866667,0.9861905,0.9859515,132.90163,144.0,0.98702186,8,session_E,22,2,001-2014,ACM+TGSP+SVM(MDOP)
3,3,0.99904764,0.9861905,0.9861905,0.9861905,126.26711,144.0,4.989177,8,session_T,22,2,001-2014,ACM+TGSP+SVM(MDOP)
0,0,0.94588435,0.893813,0.88809526,0.88792664,131.64355,144.0,1.0161825,9,session_E,22,2,001-2014,ACM+MDM(MDOP)
1,1,0.8580952,0.7746891,0.7657143,0.76222634,131.89786,144.0,1.017056,9,session_T,22,2,001-2014,ACM+MDM(MDOP)
2,2,0.96605444,0.9191144,0.9161905,0.91627663,137.72844,144.0,1.0090792,9,session_E,22,2,001-2014,ACM+TGSP+SVM(MDOP)
3,3,0.9130612,0.86243266,0.85,0.8464603,133.57301,144.0,1.0660299,9,session_T,22,2,001-2014,ACM+TGSP+SVM(MDOP)
