,dataset,index,pipe1,pipe2,p,smd,nsub
28,001-2014,28,DeepConvNet,CSP+LDA,0.990234375,-0.9444952904845856,9
29,001-2014,29,EEGNet_8_2,CSP+LDA,0.94921875,-0.5554718282662308,9
30,001-2014,30,FgMDM,CSP+LDA,0.001953125,0.6950586028725682,9
31,001-2014,31,MDM,CSP+LDA,0.873046875,-0.41100188882046823,9
32,001-2014,32,ACM+MDM(MDOP),CSP+LDA,0.150390625,0.4522890738447284,9
33,001-2014,33,ACM+TGSP+SVM(MDOP),CSP+LDA,0.001953125,0.7794857309090428,9
34,001-2014,34,ShallowConvNet,CSP+LDA,0.265625,0.20884734535800314,9
35,001-2014,35,TANG+SVM,CSP+LDA,0.021484375,0.683053034951632,9
36,001-2014,36,ACM+MDM(Grid),Cov+EN,0.494140625,0.1487120376022581,9
37,001-2014,37,ACM+TGSP+SVM(Grid),Cov+EN,0.015625,0.4997251583831299,9
38,001-2014,38,CSP+LDA,Cov+EN,0.998046875,-0.7348634616029072,9
39,001-2014,39,Cov+EN,Cov+EN,0.001953125,0.0,9
40,001-2014,40,DeepConvNet,Cov+EN,0.99609375,-0.9421358046626989,9
41,001-2014,41,EEGNet_8_2,Cov+EN,0.974609375,-0.675650903914998,9
42,001-2014,42,FgMDM,Cov+EN,0.962890625,-0.59385098780263,9
43,001-2014,43,MDM,Cov+EN,0.998046875,-0.9378707392176849,9
44,001-2014,44,ACM+MDM(MDOP),Cov+EN,0.994140625,-0.9536643985559344,9
45,001-2014,45,ACM+TGSP+SVM(MDOP),Cov+EN,0.861328125,-0.41380166093054954,9
46,001-2014,46,ShallowConvNet,Cov+EN,0.99609375,-0.7203833654379178,9
47,001-2014,47,TANG+SVM,Cov+EN,0.91796875,-0.5354499757755038,9
48,001-2014,48,ACM+MDM(Grid),DeepConvNet,0.013671875,0.7345642927402993,9
49,001-2014,49,ACM+TGSP+SVM(Grid),DeepConvNet,0.001953125,0.843715096927594,9
50,001-2014,50,CSP+LDA,DeepConvNet,0.01171875,0.9444952904845856,9
51,001-2014,51,Cov+EN,DeepConvNet,0.005859375,0.9421358046626989,9
52,001-2014,52,DeepConvNet,DeepConvNet,0.001953125,0.0,9
53,001-2014,53,EEGNet_8_2,DeepConvNet,0.404296875,0.08269709865745076,9
54,001-2014,54,FgMDM,DeepConvNet,0.0078125,0.97422362692228,9
55,001-2014,55,MDM,DeepConvNet,0.046875,0.649103700797833,9
56,001-2014,56,ACM+MDM(MDOP),DeepConvNet,0.013671875,0.8525362825023685,9
57,001-2014,57,ACM+TGSP+SVM(MDOP),DeepConvNet,0.001953125,1.0487152219389517,9
58,001-2014,58,ShallowConvNet,DeepConvNet,0.015625,0.859684055778301,9
59,001-2014,59,TANG+SVM,DeepConvNet,0.001953125,0.9593746604644088,9
60,001-2014,60,ACM+MDM(Grid),EEGNet_8_2,0.041015625,0.5494587244070129,9
61,001-2014,61,ACM+TGSP+SVM(Grid),EEGNet_8_2,0.017578125,0.645012288796983,9
62,001-2014,62,CSP+LDA,EEGNet_8_2,0.052734375,0.5554718282662308,9
63,001-2014,63,Cov+EN,EEGNet_8_2,0.02734375,0.675650903914998,9
64,001-2014,64,DeepConvNet,EEGNet_8_2,0.59765625,-0.08269709865745076,9
65,001-2014,65,EEGNet_8_2,EEGNet_8_2,0.001953125,0.0,9
66,001-2014,66,FgMDM,EEGNet_8_2,0.0390625,0.6662514918923977,9
67,001-2014,67,MDM,EEGNet_8_2,0.142578125,0.3997955619641955,9
68,001-2014,68,ACM+MDM(MDOP),EEGNet_8_2,0.0546875,0.5669026785675411,9
69,001-2014,69,ACM+TGSP+SVM(MDOP),EEGNet_8_2,0.013671875,0.7016756516802364,9
70,001-2014,70,ShallowConvNet,EEGNet_8_2,0.080078125,0.5134037690982609,9
71,001-2014,71,TANG+SVM,EEGNet_8_2,0.021484375,0.6723456117836548,9
72,001-2014,72,ACM+MDM(Grid),FgMDM,0.443359375,0.2755336752272399,9
73,001-2014,73,ACM+TGSP+SVM(Grid),FgMDM,0.00390625,0.5352732771055225,9
74,001-2014,74,CSP+LDA,FgMDM,0.998046875,-0.6950586028725682,9
75,001-2014,75,Cov+EN,FgMDM,0.0390625,0.59385098780263,9
76,001-2014,76,DeepConvNet,FgMDM,0.994140625,-0.97422362692228,9
