,Unnamed: 0,score,score_precision,score_recall,score_f1,time,samples,carbon_emission,subject,session,channels,n_sessions,dataset,pipeline
11,11,0.9594907,0.9040248,0.9027778,0.9027027,0.9982374,144.0,0.010484789,8,session_T,22,2,001-2014,MDM
12,12,0.9810957,0.86348015,0.8263889,0.8218439,0.9232471,144.0,0.011688079,8,session_E,22,2,001-2014,TANG+SVM
13,13,0.9652778,0.9078125,0.9027778,0.9024768,1.6154106,144.0,0.020481251,8,session_T,22,2,001-2014,TANG+SVM
0,0,0.86554784,0.75714284,0.75,0.74825174,239.488,144.0,0.6028381,9,session_E,22,2,001-2014,ACM+MDM(Grid)
1,1,0.8489583,0.7911051,0.7708333,0.766773,486.53647,144.0,1.2255588,9,session_T,22,2,001-2014,ACM+MDM(Grid)
2,2,0.94405866,0.8319968,0.8194444,0.81772155,1.1124234,144.0,0.0024990714,9,session_E,22,2,001-2014,Cov+EN
3,3,0.8435571,0.79740363,0.7916667,0.7906571,2.3062851,144.0,0.0051821666,9,session_T,22,2,001-2014,Cov+EN
4,4,0.9342207,0.88201815,0.8819444,0.88193876,3.38952,144.0,0.00868107,9,session_E,22,2,001-2014,CSP+LDA
5,5,0.8109568,0.78571427,0.7777778,0.7762238,4.359143,144.0,0.010875411,9,session_T,22,2,001-2014,CSP+LDA
6,6,0.91280866,0.82797056,0.8263889,0.8261793,1058.4807,144.0,2.7509034,9,session_E,22,2,001-2014,ACM+TGSP+SVM(Grid)
7,7,0.8541667,0.82572776,0.8194444,0.8185695,2162.342,144.0,5.6155095,9,session_T,22,2,001-2014,ACM+TGSP+SVM(Grid)
8,8,0.9226466,0.7960152,0.7708333,0.76585364,1.051671,144.0,0.0025521594,9,session_E,22,2,001-2014,FgMDM
9,9,0.81963736,0.7671875,0.7638889,0.7631579,2.078399,144.0,0.005048533,9,session_T,22,2,001-2014,FgMDM
10,10,0.8865741,0.7814815,0.7638889,0.7601411,0.6006117,144.0,0.0013994427,9,session_E,22,2,001-2014,MDM
11,11,0.84818673,0.8170784,0.7847222,0.7790865,1.123913,144.0,0.0025480615,9,session_T,22,2,001-2014,MDM
12,12,0.93248457,0.7868233,0.7708333,0.7675943,1.0742142,144.0,0.0023459187,9,session_E,22,2,001-2014,TANG+SVM
13,13,0.8472222,0.83131313,0.7847222,0.7768781,2.0985882,144.0,0.004522404,9,session_T,22,2,001-2014,TANG+SVM
0,0,0.9992284,0.96753246,0.9652778,0.9652359,166.17381,144.0,0.26192355,1,session_E,22,2,001-2014,ACM+MDM(MDOP)
1,1,0.9851466,0.9318885,0.9305556,0.93050194,330.13287,144.0,0.5835408,1,session_T,22,2,001-2014,ACM+MDM(MDOP)
2,2,0.9996142,0.96153843,0.9583333,0.9582609,178.04504,144.0,0.31279552,1,session_E,22,2,001-2014,ACM+TGSP+SVM(MDOP)
3,3,0.99151236,0.94755244,0.9444444,0.9443478,343.35223,144.0,0.6361991,1,session_T,22,2,001-2014,ACM+TGSP+SVM(MDOP)
0,0,0.9664352,0.9078125,0.9027778,0.9024768,165.80597,144.0,0.27717763,2,session_E,22,2,001-2014,ACM+MDM(MDOP)
1,1,0.9857253,0.9447876,0.9444444,0.94443375,323.61255,144.0,0.57848763,2,session_T,22,2,001-2014,ACM+MDM(MDOP)
2,2,0.9662423,0.8996105,0.8958333,0.8955866,178.81476,144.0,0.3267711,2,session_E,22,2,001-2014,ACM+TGSP+SVM(MDOP)
3,3,0.9866898,0.89653814,0.8888889,0.8883504,337.17578,144.0,0.6277909,2,session_T,22,2,001-2014,ACM+TGSP+SVM(MDOP)
0,0,0.99112654,0.9556962,0.9513889,0.95127374,1497.0706,144.0,15.325605,3,session_E,22,2,001-2014,ACM+MDM(MDOP)
1,1,0.9675926,0.8768517,0.8680556,0.8672811,2953.51,144.0,18.694,3,session_T,22,2,001-2014,ACM+MDM(MDOP)
2,2,0.9988426,0.9556962,0.9513889,0.95127374,1511.9606,144.0,10.429884,3,session_E,22,2,001-2014,ACM+TGSP+SVM(MDOP)
3,3,0.984375,0.88973534,0.875,0.8738072,2961.6184,144.0,13.800221,3,session_T,22,2,001-2014,ACM+TGSP+SVM(MDOP)
0,0,0.9870756,0.9375844,0.9375,0.93749696,1502.1699,144.0,15.967835,4,session_E,22,2,001-2014,ACM+MDM(MDOP)
1,1,0.7826003,0.74269664,0.7291667,0.7253387,2958.2915,144.0,19.400726,4,session_T,22,2,001-2014,ACM+MDM(MDOP)
2,2,0.9884259,0.9318885,0.9305556,0.93050194,1517.9218,144.0,18.157928,4,session_E,22,2,001-2014,ACM+TGSP+SVM(MDOP)
3,3,0.82195216,0.7504744,0.7291667,0.7232816,2975.745,144.0,21.594542,4,session_T,22,2,001-2014,ACM+TGSP+SVM(MDOP)
0,0,0.8009259,0.7184874,0.6805556,0.6660617,125.09385,144.0,0.43423605,5,session_E,22,2,001-2014,ACM+MDM(MDOP)
1,1,0.70910496,0.725,0.625,0.578125,247.97482,144.0,0.89529467,5,session_T,22,2,001-2014,ACM+MDM(MDOP)
2,2,0.8101852,0.74384236,0.6527778,0.61702126,139.06076,144.0,0.45832714,5,session_E,22,2,001-2014,ACM+TGSP+SVM(MDOP)
3,3,0.7297454,0.74186045,0.5902778,0.51415336,264.75995,144.0,0.9282687,5,session_T,22,2,001-2014,ACM+TGSP+SVM(MDOP)
0,0,0.8362269,0.76666665,0.75,0.74603176,139.99934,144.0,1.7922271,6,session_E,22,2,001-2014,ACM+MDM(MDOP)
1,1,0.8152006,0.7290909,0.6944444,0.68243784,275.87524,144.0,3.4008036,6,session_T,22,2,001-2014,ACM+MDM(MDOP)
2,2,0.86554784,0.77617663,0.7569444,0.75263804,150.02425,144.0,1.9335437,6,session_E,22,2,001-2014,ACM+TGSP+SVM(MDOP)
3,3,0.8425926,0.7555457,0.7222222,0.7128614,284.9495,144.0,3.5375893,6,session_T,22,2,001-2014,ACM+TGSP+SVM(MDOP)
0,0,0.9998071,0.96153843,0.9583333,0.9582609,122.59123,144.0,0.42786005,7,session_E,22,2,001-2014,ACM+MDM(MDOP)
1,1,0.9982639,0.9556962,0.9513889,0.95127374,248.54614,144.0,0.8983384,7,session_T,22,2,001-2014,ACM+MDM(MDOP)
2,2,1.0,0.9736842,0.9722222,0.97220075,131.77258,144.0,0.44519284,7,session_E,22,2,001-2014,ACM+TGSP+SVM(MDOP)
3,3,0.9992284,0.9736842,0.9722222,0.97220075,257.61304,144.0,0.9181575,7,session_T,22,2,001-2014,ACM+TGSP+SVM(MDOP)
0,0,0.9685571,0.88201815,0.8819444,0.88193876,166.96518,144.0,0.27640086,8,session_E,22,2,001-2014,ACM+MDM(MDOP)
1,1,0.97492284,0.9195804,0.9166667,0.9165217,335.8235,144.0,0.6061509,8,session_T,22,2,001-2014,ACM+MDM(MDOP)
2,2,0.98070985,0.9136319,0.9097222,0.9095084,178.98431,144.0,0.327935,8,session_E,22,2,001-2014,ACM+TGSP+SVM(MDOP)
3,3,0.98051697,0.9447876,0.9444444,0.94443375,347.84366,144.0,0.65734804,8,session_T,22,2,001-2014,ACM+TGSP+SVM(MDOP)
0,0,0.8680556,0.7463197,0.7291667,0.7243681,173.9174,144.0,0.2947427,9,session_E,22,2,001-2014,ACM+MDM(MDOP)
1,1,0.8410494,0.7960152,0.7708333,0.76585364,346.8227,144.0,0.63592064,9,session_T,22,2,001-2014,ACM+MDM(MDOP)
2,2,0.9056713,0.79106385,0.7638889,0.7582461,186.49718,144.0,0.3305962,9,session_E,22,2,001-2014,ACM+TGSP+SVM(MDOP)
3,3,0.83487654,0.7976407,0.7847222,0.7823607,361.74332,144.0,0.6740732,9,session_T,22,2,001-2014,ACM+TGSP+SVM(MDOP)
0,0,0.9976852,0.25,0.5,0.33333334,83.88649,144.0,0.20436378,1,session_E,22,2,001-2014,EEGNet_8_2
1,1,0.97781634,0.9444444,0.9375,0.9372549,299.94083,144.0,0.74041545,1,session_T,22,2,001-2014,EEGNet_8_2
2,2,0.9996142,0.802521,0.6736111,0.6346953,95.52222,144.0,0.23512381,1,session_E,22,2,001-2014,DeepConvNet
3,3,0.9878472,0.94755244,0.9444444,0.9443478,326.44733,144.0,0.8059813,1,session_T,22,2,001-2014,DeepConvNet
4,4,0.9996142,0.9931507,0.9930556,0.9930552,111.16559,144.0,0.27628165,1,session_E,22,2,001-2014,ShallowConvNet
5,5,0.984375,0.93373495,0.9236111,0.92316276,225.0585,144.0,0.56139505,1,session_T,22,2,001-2014,ShallowConvNet
0,0,0.9564043,0.89009285,0.8888889,0.88880306,136.1406,144.0,0.36360922,2,session_E,22,2,001-2014,EEGNet_8_2
1,1,0.9868827,0.9318885,0.9305556,0.93050194,272.69305,144.0,0.7368508,2,session_T,22,2,001-2014,EEGNet_8_2
2,2,0.91184413,0.25,0.5,0.33333334,52.03507,144.0,0.13284875,2,session_E,22,2,001-2014,DeepConvNet
3,3,0.84008485,0.25,0.5,0.33333334,106.89212,144.0,0.27404076,2,session_T,22,2,001-2014,DeepConvNet
4,4,0.9689429,0.9104348,0.9097222,0.90968305,230.43987,144.0,0.5831132,2,session_E,22,2,001-2014,ShallowConvNet
5,5,0.97762346,0.9276534,0.9236111,0.92343014,326.13544,144.0,0.837363,2,session_T,22,2,001-2014,ShallowConvNet
0,0,1.0,0.93373495,0.9236111,0.92316276,110.08518,144.0,0.2946421,3,session_E,22,2,001-2014,EEGNet_8_2
1,1,0.9924769,0.95868725,0.9583333,0.95832527,236.72177,144.0,0.61554956,3,session_T,22,2,001-2014,EEGNet_8_2
2,2,0.9884259,0.25,0.5,0.33333334,57.59989,144.0,0.15636986,3,session_E,22,2,001-2014,DeepConvNet
3,3,0.9876543,0.25,0.5,0.33333334,128.55481,144.0,0.34877402,3,session_T,22,2,001-2014,DeepConvNet
4,4,0.9998071,0.9044944,0.8819444,0.88027585,230.2025,144.0,0.58257204,3,session_E,22,2,001-2014,ShallowConvNet
5,5,0.9959491,0.94755244,0.9444444,0.9443478,493.55103,144.0,1.2683091,3,session_T,22,2,001-2014,ShallowConvNet
0,0,0.7887731,0.70173913,0.7013889,0.70125926,69.23982,144.0,0.11639459,4,session_E,22,2,001-2014,EEGNet_8_2
1,1,0.8566744,0.77730596,0.7708333,0.7694882,183.73341,144.0,0.30719066,4,session_T,22,2,001-2014,EEGNet_8_2
2,2,0.94174385,0.79145426,0.6875,0.65690684,77.63085,144.0,0.15206735,4,session_E,22,2,001-2014,DeepConvNet
3,3,0.87741125,0.7373626,0.5833333,0.50264794,137.12259,144.0,0.2592622,4,session_T,22,2,001-2014,DeepConvNet
4,4,0.9421296,0.8547826,0.8541667,0.8541033,100.36715,144.0,0.196068,4,session_E,22,2,001-2014,ShallowConvNet
5,5,0.9072145,0.84119785,0.8263889,0.8244844,397.37094,144.0,0.78484535,4,session_T,22,2,001-2014,ShallowConvNet
0,0,0.49575618,0.5,0.5,0.44317937,55.647034,144.0,0.109706625,5,session_E,22,2,001-2014,EEGNet_8_2
1,1,0.56963736,0.56619,0.5625,0.5563163,132.27301,144.0,0.25765878,5,session_T,22,2,001-2014,EEGNet_8_2
2,2,0.58179015,0.5851064,0.5069444,0.36,100.28737,144.0,0.19994095,5,session_E,22,2,001-2014,DeepConvNet
3,3,0.55806327,0.25,0.5,0.33333334,167.2269,144.0,0.3336633,5,session_T,22,2,001-2014,DeepConvNet
4,4,0.75964504,0.68111455,0.6805556,0.6803089,102.98176,144.0,0.20069645,5,session_E,22,2,001-2014,ShallowConvNet
5,5,0.69579476,0.6544433,0.6458333,0.6408275,198.2971,144.0,0.38861042,5,session_T,22,2,001-2014,ShallowConvNet
0,0,0.6834491,0.6472727,0.625,0.61026466,93.01689,144.0,0.17957515,6,session_E,22,2,001-2014,EEGNet_8_2
1,1,0.7019676,0.6277641,0.5902778,0.5578454,267.44867,144.0,0.505266,6,session_T,22,2,001-2014,EEGNet_8_2
2,2,0.68306327,0.6985294,0.5416667,0.42884615,78.902596,144.0,0.15641506,6,session_E,22,2,001-2014,DeepConvNet
3,3,0.6869213,0.62787116,0.6041667,0.5849305,175.91586,144.0,0.34858975,6,session_T,22,2,001-2014,DeepConvNet
4,4,0.6703318,0.63258386,0.6319444,0.6315002,303.9242,144.0,0.60813093,6,session_E,22,2,001-2014,ShallowConvNet
5,5,0.62808645,0.55572754,0.5555556,0.5552124,394.8311,144.0,0.7892122,6,session_T,22,2,001-2014,ShallowConvNet
0,0,1.0,0.98,0.9791667,0.9791576,189.06337,144.0,0.349619,7,session_E,22,2,001-2014,EEGNet_8_2
1,1,0.9996142,0.9864865,0.9861111,0.9861084,377.41644,144.0,0.6925862,7,session_T,22,2,001-2014,EEGNet_8_2
2,2,0.9992284,0.802521,0.6736111,0.6346953,98.94258,144.0,0.18724063,7,session_E,22,2,001-2014,DeepConvNet
