,dataset,index,pipe1,pipe2,p,smd,nsub
118,001-2015,118,ShallowConvNet,ACM+TGSP+SVM(MDOP),0.568115234375,-0.06385482805439859,12
119,001-2015,119,TANG+SVM,ACM+TGSP+SVM(MDOP),0.982421875,-0.6306832050728464,12
120,001-2015,120,ACM+MDM(Grid),ShallowConvNet,0.91943359375,-0.4134072187063118,12
121,001-2015,121,ACM+TGSP+SVM(Grid),ShallowConvNet,0.197509765625,0.29232305956993965,12
122,001-2015,122,CSP+LDA,ShallowConvNet,0.9677734375,-0.6049722249457785,12
123,001-2015,123,Cov+EN,ShallowConvNet,0.606201171875,-0.0896452170408788,12
124,001-2015,124,DeepConvNet,ShallowConvNet,0.999755859375,-0.8586059081697565,12
125,001-2015,125,EEGNet_8_2,ShallowConvNet,0.961181640625,-0.5533237344373889,12
126,001-2015,126,FgMDM,ShallowConvNet,0.889892578125,-0.3783712752691331,12
127,001-2015,127,MDM,ShallowConvNet,0.998046875,-0.897464630667001,12
128,001-2015,128,ACM+MDM(MDOP),ShallowConvNet,0.97314453125,-0.6261231639903931,12
129,001-2015,129,ACM+TGSP+SVM(MDOP),ShallowConvNet,0.431884765625,0.06385482805439859,12
130,001-2015,130,ShallowConvNet,ShallowConvNet,0.000244140625,0.0,12
131,001-2015,131,TANG+SVM,ShallowConvNet,0.807861328125,-0.2563537229018837,12
132,001-2015,132,ACM+MDM(Grid),TANG+SVM,0.8701171875,-0.34497697848197845,12
133,001-2015,133,ACM+TGSP+SVM(Grid),TANG+SVM,0.000244140625,1.1353701458814962,12
134,001-2015,134,CSP+LDA,TANG+SVM,0.999267578125,-0.7200834337087737,12
135,001-2015,135,Cov+EN,TANG+SVM,0.065673828125,0.4289945978490293,12
136,001-2015,136,DeepConvNet,TANG+SVM,0.879150390625,-0.4124631566391902,12
137,001-2015,137,EEGNet_8_2,TANG+SVM,0.641845703125,-0.18676075353230748,12
138,001-2015,138,FgMDM,TANG+SVM,0.9599609375,-0.5316586556966694,12
139,001-2015,139,MDM,TANG+SVM,0.99951171875,-0.9491007568715955,12
140,001-2015,140,ACM+MDM(MDOP),TANG+SVM,0.963134765625,-0.628245767714337,12
141,001-2015,141,ACM+TGSP+SVM(MDOP),TANG+SVM,0.017822265625,0.6306832050728464,12
142,001-2015,142,ShallowConvNet,TANG+SVM,0.192138671875,0.2563537229018837,12
143,001-2015,143,TANG+SVM,TANG+SVM,0.000244140625,0.0,12
